product_id,description,code_level_1,code_level_2,vendor,price_range
1,HP EliteBook 840 G10 16GB RAM Laptop Business Notebook,LAPTOPS,BUSINESS,HP,HIGH
2,Logitech MX Master 3S Wireless Mouse,ACCESSORIES,PERIPHERALS,Logitech,MEDIUM
3,Lenovo ThinkPad X1 Carbon Laptop Ultrabook,LAPTOPS,BUSINESS,Lenovo,HIGH
4,Samsung 27-inch 4K UHD Monitor Display,MONITORS,DISPLAY,Samsung,MEDIUM
5,Apple MacBook Air M2 13-inch Consumer Laptop,LAPTOPS,CONSUMER,Apple,HIGH
6,Dell XPS 13 Plus Developer Edition Laptop,LAPTOPS,BUSINESS,Dell,HIGH
7,Microsoft Surface Pro 9 Tablet Laptop Hybrid,TABLETS,BUSINESS,Microsoft,HIGH
8,ASUS ROG Strix Gaming Laptop GeForce RTX,LAPTOPS,GAMING,ASUS,HIGH
9,Canon PIXMA Pro-200 Professional Printer,PRINTERS,PROFESSIONAL,Canon,MEDIUM
10,Cisco Meraki MR36 Wireless Access Point,NETWORKING,WIRELESS,Cisco,HIGH
11,Western Digital WD Black 2TB NVMe SSD,STORAGE,INTERNAL,WD,MEDIUM
12,Kingston DataTraveler 128GB USB Flash Drive,STORAGE,EXTERNAL,Kingston,LOW
13,Intel Core i7-13700K Desktop Processor,PROCESSORS,DESKTOP,Intel,HIGH
14,AMD Ryzen 9 5900X Gaming CPU Processor,PROCESSORS,DESKTOP,AMD,HIGH
15,NVIDIA GeForce RTX 4090 Graphics Card,GRAPHICS,HIGH_END,NVIDIA,VERY_HIGH
16,Corsair Vengeance 32GB DDR4 RAM Memory,MEMORY,DESKTOP,Corsair,MEDIUM
17,TP-Link Archer AX73 WiFi 6 Router,NETWORKING,ROUTERS,TP-Link,MEDIUM
18,Brother HL-L3270CDW Color Laser Printer,PRINTERS,BUSINESS,Brother,MEDIUM
19,Razer BlackWidow V4 Mechanical Keyboard,ACCESSORIES,GAMING,Razer,MEDIUM
20,Sony WH-1000XM5 Noise Canceling Headphones,AUDIO,HEADPHONES,Sony,HIGH
